Title,Release Year,Locations,Coordinates
Chance- Season 1 ep106,2016,"2 Rowland, San Francisco",37.7977448 -122.4044379
Chance- Season 1 ep106,2016,"McAllister between Leavenworth and Hyde, San Francisco",37.7782213 -122.4350777
Chance- Season 1 ep107,2016,"Punjab Caf�, 838 24th St., San Francisco",37.7530688 -122.4089713
Chance- Season 1 ep107,2016,"60 Potomac, San Francisco",37.7701818 -122.4324681
Chance- Season 1 ep107,2016,"Buena Vista betweeen Upper Terrace and Java St., San Francisco",37.76582 -122.4428
Chance- Season 1 ep107,2016,"157 Commonwealth, San Francisco",37.7825911 -122.4559018
Chance- Season 1 ep107,2016,"1461 Page St., San Francisco",37.7710486 -122.4447997
Chance- Season 1 ep107,2016,"1958 Valencia St., San Francisco",37.7464681 -122.4201447
Chance- Season 1 ep107,2016,"145 Barlett St., San Francisco",37.7546686 -122.4195856
Chance- Season 1 ep108,2016,"Huntington Park, San Francisco",37.7921814 -122.4121737
Chance- Season 1 ep108,2016,"Fairmont Hotel, San Francisco",37.7923723 -122.4105611
Chance- Season 1 ep108,2016,"1000 Mason St., San Francisco",37.7931691 -122.4105791
Chance- Season 1 ep108,2016,"St. Mary's Square Park, San Francisco",37.7919602 -122.4051777
Chance- Season 1 ep109,2016,"Terry A. Francois Blvd. , San Francisco",37.7701426 -122.3864105
Chance- Season 1 ep109,2016,"2 Rowland, San Francisco",37.7977448 -122.4044379
Chance- Season 1 ep109,2016,"Ocean Park Motel, San Francisco",37.7363439 -122.5038779
Chance- Season 1 ep109,2016,"Cliffhouse, 1090 Point Lobos Ave., San Francisco",37.778507 -122.5139808
Chance- Season 1 ep109,2016,"850 Bryant- 6th floor County Jail, San Francisco",37.77523619999999 -122.4048949
Chance- Season 1 ep109,2016,"60 Leavenworth St., San Francisco",37.7811707 -122.4135524
Chance- Season 1 ep110,2016,"San Francisco General Hospital, San Francisco",37.7553614 -122.4051687
Chance- Season 1 ep110,2016,"1901 Ocean Ave. at Ashton Ave., San Francisco",37.7251502 -122.4624509
Chance- Season 1 ep110,2016,"1 Urbano, San Francisco",37.7244488 -122.463509
Chance- Season 1 ep110,2016,"18 Urbano, San Francisco",37.7247203 -122.4631109
Chance- Season 1 ep110,2016,"Ocean Park Motel, San Francisco",37.7363439 -122.5038779
Chance- Season 1 ep110,2016,"Cliffhouse, 1090 Point Lobos Ave., San Francisco",37.778507 -122.5139808
Chance Season 2,2017,"Marina Blvd between Baker and Fillmore St, San Francisco",37.7983568 -122.4460864
Chance Season 2,2017,"Jefferson St at Taylor St, San Francisco",37.8082214 -122.4158081
Chance Season 2,2017,"Taylor St, north of Jefferson St to end, San Francisco",37.80834790000001 -122.415399
Chance Season 2,2017,"Haight St at Ashbury St, San Francisco",37.7700212 -122.4469617
Chance Season 2,2017,"Central St between Haight and Page St, San Francisco",37.7703007 -122.4440981
Chance Season 2,2017,"Waller St between Masonic and Del Mar St, San Francisco",37.7912078 -122.4129675
Chance Season 2,2017,"Market St at Embarcadero, San Francisco",37.7734494 -122.4213231
Chance Season 2,2017,"Embarcadero between Harrison and Folsom St, San Francisco",37.7890665 -122.3889214
Chance Season 2,2017,"Embarcadero at Lombard St. , San Francisco",37.80419 -122.4022693
Chance Season 2,2017,"Union St at Leavenworth St, San Francisco",37.7994171 -122.4174331
Chance Season 2,2017,"Lombard St between Leavenworth and Hyde St, San Francisco",37.801912 -122.419562
Chance Season 2,2017,"Filbert St at Stockton St, San Francisco",37.8013784 -122.4093961
Chance Season 2,2017,"20th St between Church and Dolores St, San Francisco",37.758229 -122.427795
Chance Season 2,2017,"Scott St between Jackson and Clay St, San Francisco",37.7878035 -122.4386921
Chance Season 2,2017,"Steiner St between Jackson and Clay St, San Francisco",37.7911417 -122.4376241
Chance Season 2,2017,"Lombard St between Hyde and Larkin St, San Francisco",37.7937507 -122.4179707
Chance Season 2,2017,"Columbus between Filbert and Lombard St, San Francisco",37.8009441 -122.4116674
Chance Season 2,2017,"Embarcadero at Vallejo St., San Francisco",37.7987116 -122.4079096
Chance Season 2,2017,"Embarcadero between Bay and Chestnut St, San Francisco",37.8086487 -122.4093299
Chance Season 2,2017,"Heron @ Berwick (off 8th and Harrison St), San Francisco",41.0545292 -76.23326759999999
Chance Season 2,2017,"Duboce between Buena Vista East and Alpine St, San Francisco",37.7695063 -122.4273499
Chance Season 2,2017,"Haight between Central and Ashbury St, San Francisco",37.770305 -122.4438162
Chance Season 2,2017,"Mason between Sacramento and California St, San Francisco",37.7912078 -122.4129675
Chance Season 2,2017,"Sacramento between Mason and Taylor St, San Francisco",37.7906014 -122.4281098
Chance Season 2,2017,"California between Mason and Taylor St, San Francisco",37.7958565 -122.4116509
Chance Season 2,2017,"Leavenworth at McAllister St, San Francisco",37.7809321 -122.4136762
Chance Season 2,2017,"Embarcadero between Market to Fillmore St, San Francisco",37.7941414 -122.3947602
Chance Season 2,2017,"Coit Tower, San Francisco",37.8023949 -122.4058222
Chance Season 2,2017,"Palace of Fine Arts (3301 Lyon Street), San Francisco",37.8029577 -122.4491929
Chance Season 2,2017,"Presidio Heights Neighborhood , San Francisco",37.7889125 -122.4538009
Cherish,2002,"387 Fair Oaks at 25th Street, San Francisco",37.750608 -122.423581
Chu Chu and the Philly Flash,1981,"Transbay Terminal (Mission Street at 1st Street), San Francisco",37.7893387 -122.3924805
Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",37.7923723 -122.4105611
Chu Chu and the Philly Flash,1981,"22nd and Carolina Streets (Potrero Hill), San Francisco",37.75724700000001 -122.400008
City of Angels,1998,"San Francisco Public Library Main Branch (100 Larkin Street), San Francisco",37.7790819 -122.4157961
Class Action,1991,"Mission Dolores (3321 16th Street, Mission District), San Francisco",37.7643849 -122.4275054
Class Action,1991,"City Hall, San Francisco",37.7792597 -122.4192646
Class Action,1991,"Bix Restaurant (56 Gold Street), San Francisco",37.7968712 -122.4029298
Common Threads: Stories From the Quilt,1989,"The Castro, San Francisco",37.7609082 -122.4350043
Copycat,1995,"Treasure Island, San Francisco",37.8235515 -122.370648
Copycat,1995,"Twin Peaks, San Francisco",37.7525098 -122.4475683
Copycat,1995,"Sound Factory (1st and Harrison Streets), San Francisco",37.773267 -122.4091729
Copycat,1995,"Java House (Pier 40, Embarcadero), San Francisco",37.7813805 -122.3877693
Copycat,1995,"Alta Plaza Park, San Francisco",37.7911417 -122.4376241
Copycat,1995,"82 & 67 Rico Way (Marina District), San Francisco",37.804986 -122.439794
Crackers,1984,"24th Street between Mission Street and Potrero Avenue, San Francisco",37.7522493 -122.4184588
Crackers,1984,"La Rondalla (Valencia and 20th Streets), San Francisco",37.7584378 -122.4210056
CSI: NY- episode 903,2012,"Palace of Fine Arts, San Francisco",37.8029577 -122.4491929
D.O.A,1950,"Powell & California Streets, San Francisco",37.7844688 -122.4079864
D.O.A,1950,"Southern Pacific Memorial Hospital (1400 Fell Street), San Francisco",37.7734008 -122.4418679
D.O.A,1950,"The Embarcadero/ Ferry Building, San Francisco",37.7955703 -122.3933208
D.O.A,1950,"Union Square, San Francisco",37.7879797 -122.4075169
D.O.A,1950,"Westin St. Francis Hotel (335 Powell Street), San Francisco",37.7877881 -122.4088321
D.O.A,1950,"Chambord Apartments (1298 Sacramento Street at Jones), San Francisco",37.7924898 -122.4141357
D.O.A,1950,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle), San Francisco",37.79150509999999 -122.4104582
D.O.A,1950,"Market & Steuart Streets (Financial District), San Francisco",37.7944659 -122.3947991
D.O.A,1950,"Market Street (from 6th- 4th Streets), San Francisco",37.7773209 -122.4042891
Dark Passage,1947,"Golden Gate Bridge, San Francisco",37.8190603 -122.4781232
Dark Passage,1947,"The Malloch Apartment Building (1360 Montgomery Street), San Francisco",37.8017724 -122.4043841
Dark Passage,1947,"Filbert Steps, Filbert Street, San Francisco",37.7995077 -122.4241083
Dawn of the Planet of the Apes,2014,"University Club, San Francisco",37.792367 -122.4090581
Dawn of the Planet of the Apes,2014,"Filbert St. from Hyde to Leavenworth, San Francisco",37.7995077 -122.4241083
Dawn of the Planet of the Apes,2014,"California St from Mason to Kearny, San Francisco",37.7850374 -122.4097116
Pushing Dead,2016,"2930 3rd Street, San Francisco",37.7519723 -122.3879709
Dawn of the Planet of the Apes,2014,"City Hall, San Francisco",37.7792597 -122.4192646
Dawn of the Planet of the Apes,2014,"Alioto Park, San Francisco",37.7588666 -122.4181453
Dawn of the Planet of the Apes,2014,"California & Powell , San Francisco",37.796504 -122.4100932
Dawn of the Planet of the Apes,2014,"Columbus & Pacific Ave, San Francisco",37.7970734 -122.4055576
Dim Sum: A Little Bit of Heart,1985,"San Francisco International Airport, San Francisco",37.6213129 -122.3789554
Dim Sum: A Little Bit of Heart,1985,"Li Po (916 Grant Avenue at Washington, Chinatown), San Francisco",37.7954841 -122.4063742
Dim Sum: A Little Bit of Heart,1985,"Chinatown, San Francisco",37.7941378 -122.4077914
Dirty Harry,1971,"Marina Green, Marina District, San Francisco",37.8069514 -122.4393511
Dirty Harry,1971,"Washington Square, North Beach, San Francisco",37.8008473 -122.4099791
Dirty Harry,1971,"The Embarcadero, San Francisco",37.7992627 -122.3976732
Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square), San Francisco",37.8013901 -122.4101618
Dirty Harry,1971,"San Francisco Drydock (20th and Illinois Streets), San Francisco",37.760628 -122.3866097
Dirty Harry,1971,"Portsmouth Square (Chinatown), San Francisco",37.7950204 -122.4055424
Dirty Harry,1971,"Mt. Davidson Cross, Mt. Davidson, San Francisco",37.738346 -122.4547746
Dirty Harry,1971,"Mission Dolores Park (Mission District), San Francisco",37.7596168 -122.4269038
Dirty Harry,1971,"Kezar Stadium, Golden Gate Park, San Francisco",37.7669182 -122.4561008
Dirty Harry,1971,"Holiday Inn Select Downtown Hotel (750 Kearney Street), San Francisco",37.786085 -122.408656
Dirty Harry,1971,"Hall of Justice (850 Bryant Street), San Francisco",37.775471 -122.4037169
Dirty Harry,1971,"Forest Hill Station- MUNI, San Francisco",37.7479845 -122.4590076
Dirty Harry,1971,"Dante Building (1606 Stockton Street at Union), San Francisco",37.8006533 -122.4090421
Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center), San Francisco",37.776808 -122.4180605
Dirty Harry,1971,"Bank of America Building (555 California Street), San Francisco",37.792062 -122.4037148
Doctor Dolittle,1998,"Webster Street, San Francisco",37.7879365 -122.4319746
Doctor Dolittle,1998,"Telegraph Hill Blvd (Telegraph Hill), San Francisco",37.8027862 -122.4060487
Doctor Dolittle,1998,"Larkin & Hyde Streets, San Francisco",37.7822605 -122.4130207
Doctor Dolittle,1998,"Gabbiano's Restaurant (Ferry Building), San Francisco",37.7955703 -122.3933208
Doctor Dolittle,1998,"Coit Tower, San Francisco",37.8023949 -122.4058222
Doctor Dolittle,1998,"2107 Union Street, San Francisco",37.7971178 -122.4340934
Doctor Dolittle,1998,"2100 Green Street, San Francisco",37.7965522 -122.4339396
Dopamine,2003,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets), San Francisco",37.778898 -122.396246
Dopamine,2003,"Fort Point (Presidio, Golden Gate National Recreation Area), San Francisco",37.8106185 -122.4770527
Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area), San Francisco",37.8040257 -122.4650165
Dr. Dolittle 2,2001,"Sacramento St., Between Pierce & Broderick Streets , San Francisco",37.7922255 -122.4172262
Dr. Dolittle 2,2001,"Hyde Street & Lombard Street, San Francisco",37.8020045 -122.4196371
Dr. Dolittle 2,2001,"Building 924, Presidio (Golden Gate National Recreation Area), San Francisco",37.8480388 -122.5294085
Dr. Dolittle 2,2001,"Broadway, Between Franklin & Laguna Streets, San Francisco",37.799963 -122.4312505
Dream for an Insomniac,1996,"Baker Beach, San Francisco",37.7935724 -122.483638
Dream for an Insomniac,1996,"Elbo Room (647 Valencia Street), San Francisco",37.7625064 -122.4214116
Dream with the Fishes,1997,"Pier 39, San Francisco",37.80867300000001 -122.409821
Dream with the Fishes,1997,"Bay Bridge, San Francisco",37.7982799 -122.3778182
Edtv,1999,"Palace of Fine Arts (3301 Lyon Street), San Francisco",37.8029577 -122.4491929
Edtv,1999,"Moose's Restaurant (1652 Stockton), San Francisco",37.8011609 -122.4090968
Edtv,1999,"Mario's Bohemian Cigar Store (Washington Square), San Francisco",37.8002499 -122.4097803
Pushing Dead,2016,"Hayes Street between Ashbury and Shrader, San Francisco",37.773466 -122.451565
Edtv,1999,"Center for the Arts, Yerba Buena Gardens (701 Mission Street), San Francisco",37.7856437 -122.4021904
Edtv,1999,"Castro Theatre (429 Castro Street, The Castro), San Francisco",37.7620333 -122.4347591
Edtv,1999,"20th & Connecticut Streets (Potrero Hill), San Francisco",37.7599753 -122.3972755
Edtv,1999,"19 Green Street (North Beach), San Francisco",37.8006344 -122.3995867
Edtv,1999,"1138 Filbert Street, San Francisco",37.800566 -122.418279
Edtv,1999,"North Beach Video (1398 Grant Avenue at Green), San Francisco",37.799601 -122.4072141
Escape From Alcatraz,1979,"Alcatraz Island, San Francisco",37.8269775 -122.4229555
Etruscan Smile,2017,"Treasure Island, San Francisco",37.8235515 -122.370648
Etruscan Smile,2017,"Andronico's, 1200 Irving Street, San Francisco",37.7641047 -122.4712113
Etruscan Smile,2017,"Mudpie, 2185 Fillmore Street, San Francisco",37.7895789 -122.4342146
Etruscan Smile,2017,"Hooker Alley Garden on Mason between Bush & Pine, San Francisco",37.7958565 -122.4116509
Etruscan Smile,2017,"Broadway @ Jones Streets, San Francisco",37.7968072 -122.4152099
Etruscan Smile,2017,"Outpost Studios, 69 Green Street, San Francisco",37.800349 -122.4007583
Etruscan Smile,2017,"Legion of Honor, 100 34th Ave, San Francisco",37.7844661 -122.5008419
Etruscan Smile,2017,"UCSF Mt Zion 1600 Divisadero, San Francisco",37.7850048 -122.4389555
Etruscan Smile,2017,"343 Union Street, San Francisco",37.8007987 -122.40507
Etruscan Smile,2017,"Pier 39 San Francisco, San Francisco",37.80867300000001 -122.409821
Etruscan Smile,2017,"Pier 14 San Francisco, San Francisco",37.794042 -122.3905325
Etruscan Smile,2017,"Chaya / Perry's 132 Embarcadero, San Francisco",37.7930864 -122.392181
Etruscan Smile,2017,"Castle Street @ Green Street, San Francisco",37.8000109 -122.4050755
Etruscan Smile,2017,"1227 Montgomery Street, San Francisco",37.8004781 -122.404539
Etruscan Smile,2017,"San Francisco City Hall, San Francisco",37.7792597 -122.4192646
Etruscan Smile,2017,"San Francisco Airport, San Francisco",37.6213129 -122.3789554
Etruscan Smile,2017,"Benu Restaurant, 22 Hawthorne Street, San Francisco",37.78545200000001 -122.399036
Etruscan Smile,2017,"California Street between Front and Davis, San Francisco",37.7925064 -122.397564
Etruscan Smile,2017,"Jones @ Broadway, San Francisco",37.7968072 -122.4152099
Etruscan Smile,2017,"Bentley Reserve, 301 Battery Street, San Francisco",37.7943448 -122.4006632
Etruscan Smile,2017,"St Regis Hotel, 125 3rd Street, San Francisco",37.78596 -122.4014544
Etruscan Smile,2017,"Marriott Marquis, 780 Mission Street, San Francisco",37.7852279 -122.404389
Etruscan Smile,2017,"Laguna Honda Hospital, 375 Laguna Honda Blvd., San Francisco",37.747287 -122.4592344
Etruscan Smile,2017,"Turk Street between Mason & Leavenworth, San Francisco",37.7958565 -122.4116509
Etruscan Smile,2017,"California Street between Sansome & Davis, San Francisco",37.7942388 -122.4011299
Etruscan Smile,2017,"3rd Street between Market & Harrison, San Francisco",37.7825651 -122.3974118
Etruscan Smile,2017,"Mason Street @ Vallejo , San Francisco",37.7981761 -122.412118
Etruscan Smile,2017,"225 California Street, San Francisco",37.7930909 -122.3992633
Experiment in Terror,1962,"George Washington High School (600 32nd Avenue ), San Francisco",37.7778259 -122.4918861
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District), San Francisco",37.7933985 -122.3967649
Experiment in Terror,1962,"The Sea Captain's Chest (Fisherman's Wharf), San Francisco",37.8079996 -122.4177434
Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District), San Francisco",37.7881439 -122.4017237
Experiment in Terror,1962,"Roaring Twenties Nightclub (555 Broadway at Columbus), San Francisco",37.7980446 -122.4064657
Experiment in Terror,1962,"Candlestick Park, San Francisco",37.7136933 -122.3796916
Experiment in Terror,1962,"2632 Larkin Street at Lombard, San Francisco",37.802317 -122.421059
Experiment in Terror,1962,"100 St. Germain Avenue, San Francisco",37.7576417 -122.4505057
Experiment in Terror,1962,"1 Montgomery Street at Post, San Francisco",37.7895121 -122.4035876
Family Plot,1976,"Grace Cathedral Episcopal Church (1100 California Street), San Francisco",37.7918581 -122.4134328
Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",37.7923723 -122.4105611
Family Plot,1976,"2230 Sacramento Street, San Francisco",37.7905166 -122.4305775
Family Plot,1976,"Nob Hill, San Francisco",37.793014 -122.416113
Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley), San Francisco",37.7762593 -122.432758
Fearless,1993,"400 Montgomery Street, San Francisco",37.7931409 -122.4025849
Fearless,1993,"Folsom Street & Embarcadero, San Francisco",37.761877 -122.4149987
Fearless,1993,"Varennes Alley between Filbert and Union, San Francisco",37.7995077 -122.4241083
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square), San Francisco",37.8013901 -122.4101618
Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill), San Francisco",37.7556526 -122.4053537
Fearless,1993,"Kohl Building (400 Montgomery Street), San Francisco",37.7931409 -122.4025849
Fearless,1993,"Bank of America Building (555 California Street), San Francisco",37.792062 -122.4037148
Fearless,1993,"90 Gold Street, San Francisco",37.7967585 -122.4034713
Fearless,1993,"5th and Beale Streets, San Francisco",37.7827964 -122.4059254
Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square), San Francisco",37.7877881 -122.4088321
Final Analysis,1992,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area), San Francisco",37.8480388 -122.5294085
Final Analysis,1992,"Presidio, Golden Gate National Recreation Area, San Francisco",37.8480388 -122.5294085
Final Analysis,1992,"City Hall, San Francisco",37.7792597 -122.4192646
Final Analysis,1992,"Bix Restaurant (56 Gold Street), San Francisco",37.7968712 -122.4029298
Flower Drum Song,1961,"Golden Gate Bridge, San Francisco",37.8190603 -122.4781232
Flower Drum Song,1961,"Chinatown, San Francisco",37.7941378 -122.4077914
Flubber,1997,"Treasure Island, San Francisco",37.8235515 -122.370648
Forrest Gump,1994,"Palace of Fine Arts (3301 Lyon Street), San Francisco",37.8029577 -122.4491929
Foul Play,1978,"War Memorial Opera House (401 Van Ness Avenue), San Francisco",37.7785999 -122.4208
Foul Play,1978,"Sutter & Buchannan Streets, San Francisco",37.786514 -122.4299902
Foul Play,1978,"Sutter & Baker Streets, San Francisco",37.7848308 -122.4432077
Foul Play,1978,"Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street), San Francisco",37.78651 -122.428578
Foul Play,1978,"Sacramento & Hyde Streets (Nob Hill), San Francisco",37.791938 -122.4176076
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley), San Francisco",37.7762593 -122.432758
Foul Play,1978,"Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street), San Francisco",37.7641206 -122.3945251
Foul Play,1978,"Octavia & Hayes Streets (Hayes Valley), San Francisco",37.7767142 -122.4243971
Foul Play,1978,"Montgomery & Pine Streets (Financial District), San Francisco",37.7919106 -122.4025966
Foul Play,1978,"Laguna & Sacramento Streets (Pacific Heights), San Francisco",37.7904717 -122.4291211
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley), San Francisco",37.7767801 -122.4265958
Foul Play,1978,"Golden Gate & Steiner Streets (Hayes Valley), San Francisco",37.7793624 -122.43362
Foul Play,1978,"Fort Point, Presidio, San Francisco",37.8106185 -122.4770527
Foul Play,1978,"Fort Mason (Golden Gate National Recreation Area), San Francisco",37.8055176 -122.4283351
Foul Play,1978,"Flood Building (870 Market Street), San Francisco",37.7850231 -122.4070834
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission), San Francisco",37.7588719 -122.4172704
Foul Play,1978,"City Hall, San Francisco",37.7792597 -122.4192646
Foul Play,1978,"California & Larkin Streets (Nob Hill), San Francisco",37.7884456 -122.418593
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center), San Francisco",37.7801637 -122.4161985
Foul Play,1978,"Andrew S. Hallidie Plaza (Market & Powell Streets), San Francisco",37.796504 -122.4100932
Foul Play,1978,"430 Vallejo Street (Telegraph Hill), San Francisco",37.7993208 -122.4046718
Foul Play,1978,"24th and Castro Streets (Noe Valley), San Francisco",37.7513079 -122.4341091
Freebie and the Bean,1974,"Alco Plaza, San Francisco",19.4679997 -99.14442179999999
Freebie and the Bean,1974,"Twin Peaks, San Francisco",37.7525098 -122.4475683
Freebie and the Bean,1974,"TransAmerica Pyramid (600 Montgomery Street), San Francisco",37.79517750000001 -122.4027787
Freebie and the Bean,1974,"Stockton Tunnel (Stockton Street at Sutter Street), San Francisco",37.7901093 -122.4070453
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park), San Francisco",37.7698293 -122.466105
Freebie and the Bean,1974,"Potrero Hill, San Francisco",37.7604929 -122.400869
Freebie and the Bean,1974,"Nob Hill, San Francisco",37.793014 -122.416113
Freebie and the Bean,1974,"Hyatt Regency Hotel (5 Embarcadero Center), San Francisco",37.794372 -122.395843
Freebie and the Bean,1974,"Folsom Street (SOMA), San Francisco",37.7794588 -122.4044588
Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",37.7923723 -122.4105611
Freebie and the Bean,1974,"Embarcadero Freeway, San Francisco",37.7881524 -122.2512872
Freebie and the Bean,1974,"Candlestick Park (602 Jamestown Ave.), San Francisco",37.7135308 -122.3861392
Freebie and the Bean,1974,"Broadway and Columbus Avenue (North Beach), San Francisco",37.7978749 -122.4067162
Gentleman Jim,1942,"The Barbary Coast, San Francisco",37.781907 -122.4078286
George of the Jungle,1997,"755 Vallejo Street, San Francisco",37.7984707 -122.4097926
George of the Jungle,1997,"The Tamalpais Building (1201 Greenwich Street at Hyde), San Francisco",37.8007589 -122.4197824
George of the Jungle,1997,"Neiman Marcus (150 Stockton Street, Union Square), San Francisco",37.7873579 -122.4060936
George of the Jungle,1997,"First Bank (550 Montgomery Street at Commercial), San Francisco",37.7935837 -122.4026419
George of the Jungle,1997,"Bay Bridge, San Francisco",37.7982799 -122.3778182
Getting Even with Dad,1994,"California & Grant Streets, San Francisco",37.7974867 -122.4069752
Getting Even with Dad,1994,"War Memorial Building (401 Van Ness Avenue), San Francisco",37.7791076 -122.4206747
Getting Even with Dad,1994,"Transbay Terminal (Mission Street at 1st Street), San Francisco",37.7893387 -122.3924805
Getting Even with Dad,1994,"140 Maiden Lane, San Francisco",37.7882837 -122.4058886
Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square), San Francisco",37.8013901 -122.4101618
Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square), San Francisco",37.7873579 -122.4060936
Getting Even with Dad,1994,"Mason Street at Jackson, San Francisco",37.7954211 -122.4115607
Getting Even with Dad,1994,"M.H. de Young Memorial Museum (Golden Gate Park), San Francisco",37.771469 -122.4686755
Getting Even with Dad,1994,"Embarcadero Street Station- BART , San Francisco",37.7942169 -122.3956663
Getting Even with Dad,1994,"Candlestick Park (602 Jamestown Ave.), San Francisco",37.7135308 -122.3861392
GirlBoss,2017,"Mission Dolores Park, 19th St. & Dolores St., San Francisco",37.7598327 -122.4258706
GirlBoss,2017,"Green and Divisadero, San Francisco",37.7953275 -122.4419248
GirlBoss,2017,"1375 Haight St., San Francisco",37.7698938 -122.4447426
GirlBoss,2017,"Mission Thrift, 2330 Mission St., San Francisco",37.759752 -122.4193958
GirlBoss,2017,"The Castro Theater, 429 Castro St., San Francisco",37.7620333 -122.4347591
GirlBoss,2017,"Clarion Alley between Valencia and Mission, San Francisco",37.7630427 -122.4203277
GirlBoss,2017,"Macchiarini Steps, Kearny between Vallejo and Broadway, San Francisco",37.7990061 -122.4077015
GirlBoss,2017,"Fillmore and Waller, San Francisco",37.7711891 -122.4302841
GirlBoss,2017,"La Taqueria, 2889 Mission St., San Francisco",37.7508961 -122.4180867
GirlBoss,2017,"Various Haight St. Vintage Shops, San Francisco",37.7696426 -122.4488782
GirlBoss,2017,"Clayton Post Office, 554 Clayton St., San Francisco",37.7700546 -122.4484007
GirlBoss,2017,"Taylor and Union, San Francisco",37.7998334 -122.4141412
GirlBoss,2017,"Filbert between Leavenworth and Hyde, San Francisco",37.7995077 -122.4241083
GirlBoss,2017,"Filbert between Grant and Kearny, San Francisco",37.801366 -122.4079346
GirlBoss,2017,"Filbert and Kearny Steps, San Francisco",37.801771 -122.4062606
GirlBoss,2017,"Boulevard Restaurant, 1 Mission St., San Francisco",37.79332 -122.392761
GirlBoss,2017,"Grant between California and Washington, San Francisco",37.795097 -122.406202
GirlBoss,2017,"Musee Mecanique, Fisherman's Wharf, San Francisco",37.8093405 -122.4160609
GirlBoss,2017,"Mission between 19th and 25th St., San Francisco",37.75074800000001 -122.418691
GirlBoss,2017,"Underground SF, 424 Haight St., San Francisco",37.7724664 -122.4293949
GirlBoss,2017,"Fillmore between Haight and Waller, San Francisco",37.7879587 -122.4336699
God is a Communist?* (show me heart universe),2010,"Sacramento & Washington Streets, San Francisco",38.7259954 -77.1297663
Godzilla,2014,"Kearney & Pine St., San Francisco",37.7916933 -122.4042585
Godzilla,2014,"California & Davis St, San Francisco",37.7935225 -122.3976275
Godzilla,2014,"Pine St. & Davis St, San Francisco",37.792584 -122.3974392
Godzilla,2014,"Sacramento & Front St., San Francisco",37.7942967 -122.3989876
Godzilla,2014,"Broadway & Sansome, San Francisco",37.7984385 -122.4022479
Godzilla,2014,"Broadway & Columbus, San Francisco",37.7978749 -122.4067162
Godzilla,2014,"Post & Jones St., San Francisco",37.78768170000001 -122.4133747
Godzilla,2014,"Stockton & Clay St, San Francisco",37.7940644 -122.4079215
Godzilla,2014,"Bush & Kearny, San Francisco",37.7907632 -122.4040735
Godzilla,2014,"Mission & Fremont St, San Francisco",37.7904547 -122.3967264
Godzilla,2014,"Eddy & Taylor St., San Francisco",37.7841597 -122.4109775
Godzilla,2014,"Pier 7 (The Embarcadero), San Francisco",37.7986725 -122.3968247
Godzilla,2014,"Pier 1, San Francisco",37.7810288 -122.4568025
Godzilla,2014,"Embarcadero & Washington, San Francisco",37.7961171 -122.396016
Godzilla,2014,"Mission & Beal, San Francisco",37.7911592 -122.3958262
Godzilla,2014,"Potrero &San Bruno, San Francisco",37.7595202 -122.4049151
Golden Gate,1994,"Ross Alley (Chinatown), San Francisco",37.7955378 -122.407378
Golden Gate,1994,"University of California Hastings College of the Law, San Francisco",37.7811559 -122.415848
Golden Gate,1994,"Bush Street (between Grant & Kearny Streets), San Francisco",37.7897897 -122.4096207
Golden Gate,1994,"Buena Vista Park (Haight Street at Buena Vista), San Francisco",37.7708518 -122.4403874
Golden Gate,1994,"Golden Gate Bridge, San Francisco",37.8190603 -122.4781232
Good NeighborSam,1964,"Various locations in San Francisco during driving scene, San Francisco",37.686051 -122.159555
Greed,1924,"Cliff House (1090 Point Lobos Avenue), San Francisco",37.778507 -122.5139808
Greed,1924,"Bush and Sutter Streets, San Francisco",37.7894859 -122.415918
Greed,1924,"Hayes Street at Laguna, San Francisco",37.7764699 -122.4262854
Groove,2000,"435 23rd Street at Illinois, San Francisco",37.7554393 -122.38709
